(-0.2304, -0.0074)
(0.1127, 0.3588)
(-0.0502, 0.1518)
(0.2163, 0.2059)
(-0.1100, 0.3618)
(0.0473, 0.1615)
(0.2385, 0.4016)
(0.2092, 0.3992)
(0.3131, 0.2692)
(0.1929, 0.4950)
(0.0277, 0.2103)
(-0.0878, -0.4514)
(-0.1770, -0.1936)
(-0.0607, 0.6597)
(0.0159, 0.0100)
(-0.0870, -0.3168)
(0.0676, -0.1177)
(0.0278, 0.0694)
(0.3121, 0.1924)
(0.2645, 0.0676)
(0.0190, 0.7800)
(-0.0202, 0.1055)
(0.0561, 0.4916)
(0.1275, 0.3940)
(-0.0243, 0.4126)
(0.1933, 0.1217)
(0.1508, 0.2209)
(0.3058, 0.1631)
(0.5515, 0.0470)
(0.0087, 0.2628)
(0.1248, 0.1883)
(0.1804, 0.7376)
(0.1294, 0.4723)
(0.1677, 0.5916)
(0.1326, -0.0061)
(0.0697, 0.0432)
(0.2165, 0.1945)
(0.1696, -0.1232)
(0.2314, -0.4107)
(0.0923, -0.0549)
(0.1413, 0.6923)
(0.0159, 0.0679)
(0.0667, -0.4561)
(-0.0461, 0.0966)
(-0.1356, -0.2089)
(0.0220, 0.0857)
(-0.0202, -0.1353)
(-0.2067, 0.8000)
(-0.2075, -0.1245)
(0.2044, 0.4970)
(-0.0465, 0.4950)
(0.1054, 0.1204)
(0.1203, 0.5204)
(0.1206, -0.4796)
(0.4068, 0.0335)
(0.0230, -0.2634)
(0.3029, -0.4950)
(0.3847, -0.6041)
(0.0133, 0.2221)
(-0.3561, 0.0272)
(-0.0855, 0.1570)
(0.4876, 0.5018)
(0.2545, 0.8000)
(0.2810, -0.0110)
(0.3149, -0.0980)
(0.3628, 0.4919)
(-0.0225, 0.0828)
(0.1298, 0.3390)
(0.0360, -0.4950)
(-0.0069, -0.0212)
(0.1603, 0.4527)
(0.2238, 0.2085)
(0.3265, -0.0764)
(0.1584, 0.1028)
(-0.0581, -0.2722)
(-0.1434, -0.4950)
(-0.1669, 0.4984)
(-0.0325, -0.1149)
(0.1589, -0.1582)
(0.2473, 0.8000)
(0.0258, 0.5768)
(0.1663, 0.7593)
(0.0543, 0.1303)
(0.0543, 0.8000)
(0.1336, 0.6175)
(0.1682, 0.0982)
(0.0204, -0.2280)
(0.1377, 0.2081)
(0.2495, -0.0976)
(0.1177, 0.2904)
(0.1664, 0.1023)
(0.0962, -0.4234)
(0.2724, 0.3761)
(0.1290, 0.8000)
(0.1290, -0.0386)
(0.0299, 0.0341)
(0.1716, 0.4927)
(-0.0820, 0.2715)
(0.2792, 0.4951)
(0.0721, -0.0721)
(-0.2710, 0.2773)
(-0.1329, 0.4513)
(-0.1111, 0.7569)
(-0.0028, 0.8000)
(0.0513, 0.5609)
(-0.0481, 0.3781)
(0.0451, 0.1786)
(-0.0131, 0.4326)
(-0.1297, 0.6771)
(0.1555, 0.7753)
(0.3982, 0.4939)
(0.2935, 0.3671)
(0.2212, -0.3267)
(0.2921, 0.4332)
(0.1650, -0.0812)
(-0.3693, 0.0353)
(0.6124, 0.1735)
(-0.2743, 0.1155)
(-0.5943, -0.0944)
(-0.3569, 0.1066)
(0.3751, 0.2046)
(-0.2308, -0.0208)
(0.3118, 0.3255)
(0.5229, 0.6504)
(-0.2512, -0.1725)
(0.2292, -0.4043)
(0.1282, 0.0031)
(-0.6146, -0.3878)
(-0.3651, -0.3072)
(0.0978, 0.7248)
(-0.3409, -0.1179)
(-0.4041, 0.1870)
(-0.2448, -0.3390)
(-0.0311, 0.2954)
(-0.3205, 0.3926)
(0.5173, 0.4810)
(0.4258, 0.3883)
(-0.4738, 0.6082)
(0.0056, 0.6539)
(0.0784, 0.8000)
(-0.0422, 0.8000)
(-0.3889, 0.8000)
(0.0514, -0.0331)
(0.1292, 0.8000)
(0.5429, -0.1665)
(-0.4267, -0.4346)
(-0.2104, 0.6255)
(-0.4540, 0.7281)
(0.0118, 0.4997)
(-0.2694, 0.7260)
(-0.1424, 0.8000)
(-0.4880, 0.4950)
(-0.2848, 0.1858)
(-0.2606, 0.6016)
(-0.0751, 0.5522)
(0.1615, -0.0614)
(0.2422, 0.1861)
(0.1235, -0.0522)
(0.3013, -0.0999)
(0.6565, 0.2906)
(-0.1038, 0.7958)
