(-0.0386, 0.0074)
(0.0836, -0.2042)
(0.3328, 0.3848)
(-0.0430, 0.3722)
(-0.1811, 0.3606)
(0.2003, 0.3481)
(-0.3282, 0.1824)
(-0.1927, -0.3091)
(-0.8000, 0.1733)
(-0.0466, -0.1652)
(-0.7606, 0.5730)
(-0.2993, 0.0779)
(0.4394, 0.4950)
(0.3182, 0.8000)
(-0.2516, 0.0653)
(-0.5693, 0.8000)
(-0.0773, 0.8000)
(0.5760, 0.7525)
(0.0508, -0.0823)
(-0.7384, -0.3727)
(0.1571, 0.1997)
(-0.1505, 0.5137)
(-0.4375, 0.3875)
(0.2050, -0.4950)
(-0.2417, -0.3592)
(-0.5854, 0.2062)
(-0.4351, 0.2677)
(-0.0235, 0.1709)
(0.1688, -0.4714)
(0.2073, 0.0854)
(0.4788, 0.1250)
(0.2311, -0.4807)
(-0.2729, 0.3918)
(0.2399, 0.2066)
(0.5353, -0.2209)
(-0.2069, -0.2398)
(0.0902, 0.1028)
(0.0356, 0.0669)
(0.0153, -0.2121)
(0.5266, 0.4250)
(-0.1373, -0.0864)
(0.1802, 0.1127)
(-0.1511, 0.6166)
(-0.0204, -0.1640)
(0.2594, -0.1398)
(0.5262, 0.0400)
(-0.2915, 0.1580)
(0.3187, 0.2405)
(-0.3694, -0.2169)
(-0.1075, -0.4950)
(-0.2100, -0.4950)
(0.2839, 0.3400)
(0.2218, 0.4413)
(0.5276, 0.1924)
(-0.4401, 0.2286)
(0.2321, 0.1060)
(0.2564, -0.1004)
(0.2026, -0.0190)
(0.2083, 0.4939)
(-0.2598, 0.5617)
(0.1155, 0.6396)
(0.3590, 0.3529)
(0.3507, 0.8000)
(-0.0621, 0.8000)
(0.2328, -0.4950)
(0.2311, 0.1171)
(0.0570, -0.0076)
(0.2021, -0.4329)
(-0.0715, 0.2863)
(0.1379, -0.0240)
(0.1085, 0.5465)
(0.2240, -0.2515)
(0.2457, 0.2796)
(-0.1209, 0.4939)
(0.0480, 0.0716)
(0.3781, 0.4939)
(-0.1395, 0.4927)
(-0.0260, 0.0394)
(0.5982, 0.0930)
(-0.7259, 0.0926)
(0.2258, -0.1342)
(0.3268, 0.6135)
(0.3704, -0.0072)
(0.0662, 0.1103)
(0.0403, -0.2180)
(0.0099, -0.2682)
(0.1159, -0.1113)
(-0.0369, 0.2903)
(0.0411, -0.1219)
(0.2014, 0.1675)
(0.0431, -0.1826)
(-0.0747, 0.0096)
(0.2809, -0.0428)
(0.1469, -0.4947)
(0.2897, -0.1326)
(0.2536, -0.3919)
(-0.0778, -0.3331)
(0.0973, -0.2664)
(0.2823, 0.3200)
(0.1158, -0.0237)
(-0.1324, 0.6816)
(0.5447, 0.1791)
(0.3505, 0.8000)
(0.1399, 0.3499)
(-0.0039, 0.1760)
(-0.0723, 0.6212)
(0.0157, 0.4950)
(0.0505, 0.4925)
(0.1981, 0.2098)
(0.0798, 0.1702)
(-0.1414, -0.1184)
(0.3153, 0.0745)
(0.4467, 0.4950)
(0.1468, 0.0886)
(-0.0882, -0.3626)
(0.0224, 0.2826)
(0.2389, 0.1028)
(0.2895, 0.5216)
(0.0937, -0.3128)
(-0.2555, -0.4631)
(-0.4983, 0.4359)
(0.2239, -0.3423)
(0.4271, -0.3651)
(0.4827, -0.3363)
(0.0545, 0.0520)
(0.2507, 0.3164)
(0.0585, 0.4801)
(0.0427, 0.4830)
(-0.2084, 0.6199)
(-0.2656, 0.1296)
(-0.3074, 0.8000)
(-0.0943, 0.0628)
(-0.0709, 0.4942)
(0.0351, 0.4759)
(-0.0177, 0.3114)
(-0.0548, 0.4950)
(0.0003, 0.5013)
(0.0169, 0.4950)
(-0.0694, 0.4950)
(-0.0259, 0.8000)
(0.2834, 0.4950)
(0.2751, 0.4859)
(-0.0849, 0.8000)
(-0.2817, 0.8000)
(-0.1055, 0.3238)
(-0.1053, 0.8000)
(0.0284, 0.7379)
(-0.2903, 0.3666)
(-0.2903, 0.8000)
(0.0589, 0.3378)
(-0.0147, 0.8000)
(-0.6204, 0.8000)
(-0.1406, 0.3257)
(0.0275, 0.8000)
(0.0646, 0.0224)
(0.0831, -0.1639)
(-0.0230, 0.2510)
(0.3657, 0.3478)
(-0.2402, -0.1684)
(0.0709, -0.0128)
(-0.0756, -0.0319)
(0.0844, 0.0311)
(-0.1054, 0.0531)
(0.0948, -0.0672)
(0.0863, -0.2894)
(-0.0303, -0.1290)
(0.1357, -0.2262)
(0.2604, 0.0012)
(0.3731, 0.0492)
(0.3581, -0.1559)
(0.0750, -0.2960)
(0.1210, -0.0845)
(0.1672, -0.3785)
(0.0082, -0.1778)
(-0.2611, -0.0459)
(-0.0750, -0.1780)
(0.0488, 0.1169)
(-0.0228, 0.0326)
(-0.1557, 0.6146)
(0.0422, 0.2413)
(0.1668, -0.0036)
(0.0279, 0.2772)
(0.2850, 0.0697)
(0.0190, 0.0011)
(0.4290, 0.7091)
(0.0054, 0.5401)
(0.0135, 0.1648)
(0.0535, -0.1741)
(-0.0260, 0.6680)
(0.1053, 0.7272)
(-0.1592, 0.7635)
(0.0185, 0.6022)
(0.0206, -0.1073)
(0.0289, 0.0378)
(0.0895, 0.0726)
(0.0920, 0.7620)
(0.0647, -0.1818)
(0.1183, -0.1146)
(-0.0094, -0.0411)
(0.1110, -0.2486)
(0.0963, -0.4277)
(0.2723, -0.1835)
(0.1471, 0.2450)
