(-0.2698, 0.3231)
(0.1694, -0.4744)
(-0.2981, 0.2885)
(-0.3190, 0.2693)
(-0.2630, 0.2255)
(-0.2081, 0.2607)
(-0.1715, 0.1302)
(0.0419, 0.0746)
(0.3235, 0.1560)
(0.3777, 0.4218)
(0.2929, 0.5000)
(0.2265, 0.3730)
(0.3507, 0.1559)
(0.1934, 0.3380)
(0.3183, 0.4263)
(0.2255, 0.4770)
(0.2917, -0.2903)
(0.3414, 0.3558)
(0.3757, 0.3723)
(0.4420, 0.1878)
(0.2384, 0.3598)
(0.3757, 0.4787)
(0.3827, 0.3481)
(0.3461, -0.2573)
(0.3836, 0.5000)
(0.3778, 0.5000)
(0.3252, 0.5000)
(0.3506, 0.5000)
(0.2951, 0.5000)
(0.2315, -0.3563)
(0.1030, 0.4827)
(0.4633, 0.3968)
(0.2843, 0.2953)
(0.1867, 0.2674)
(0.4644, 0.3308)
(0.0618, -0.0321)
(0.0842, 0.1064)
(0.0471, 0.1218)
(-0.2372, 0.0469)
(-0.3159, 0.1695)
(-0.2876, 0.0602)
(-0.2579, 0.0763)
(0.3228, 0.2040)
(-0.2691, -0.3422)
(-0.3029, 0.5000)
(-0.1507, 0.0585)
(-0.0671, -0.0249)
(0.3795, -0.3856)
(-0.1000, 0.1445)
(0.0034, 0.1724)
(0.0861, 0.0934)
(0.1106, 0.1738)
(-0.1271, 0.1571)
(-0.0284, -0.0071)
(0.1024, 0.1518)
(-0.0995, 0.2167)
(-0.1293, 0.2022)
(0.1157, 0.0363)
(-0.0967, 0.0895)
(0.0600, 0.0535)
(-0.1985, 0.1349)
(-0.1360, -0.0597)
(-0.1770, 0.2383)
(-0.1395, 0.2390)
(-0.0776, 0.3357)
(-0.0999, 0.0258)
(-0.2434, -0.1044)
(0.0166, 0.0780)
(-0.1933, 0.0539)
(0.2168, -0.4512)
(-0.2083, 0.0547)
(-0.0499, 0.1405)
(0.1809, 0.5000)
(-0.2336, -0.3782)
(-0.3789, 0.4288)
(-0.1443, 0.1048)
(0.1717, 0.1029)
(0.1282, 0.0265)
(0.1682, -0.2593)
(0.1917, 0.0673)
(0.0223, -0.3119)
(-0.3701, -0.2294)
(-0.2697, -0.4736)
(-0.2716, 0.1093)
(0.1569, -0.0384)
(-0.1300, 0.4416)
(-0.1117, 0.3058)
(-0.2293, 0.1224)
(0.4678, -0.0342)
(0.5000, -0.1440)
(-0.2192, -0.0644)
(-0.0049, 0.2923)
(-0.1094, -0.0367)
(-0.0238, 0.0383)
(-0.2871, 0.1540)
(-0.3400, 0.1155)
(-0.3078, -0.0659)
(-0.0655, 0.0096)
(0.1241, 0.2654)
(0.0726, 0.1826)
(-0.3564, -0.1315)
(-0.1952, 0.0310)
(-0.1582, -0.1790)
(-0.0243, -0.0163)
(0.0388, 0.0837)
(-0.1761, 0.0558)
(0.2615, 0.2127)
(0.2531, -0.2509)
(0.0634, -0.4926)
(-0.2214, 0.1775)
(-0.0942, -0.0822)
(-0.4105, 0.1335)
(-0.1563, 0.4123)
(0.1221, 0.1174)
(-0.1534, 0.1190)
(0.1264, 0.0416)
(-0.2863, -0.2238)
(0.0503, -0.1015)
(-0.1869, -0.0635)
(-0.1681, 0.0033)
(-0.1669, 0.1840)
(-0.3860, 0.2231)
(0.0697, 0.1335)
(0.0143, -0.3197)
(0.0789, 0.0015)
(0.1344, -0.0391)
(0.4591, -0.0494)
(-0.3914, -0.1132)
(-0.1246, 0.4707)
(-0.1993, 0.3804)
(-0.0842, -0.0274)
(0.1336, 0.0379)
(0.2066, 0.1545)
(0.2955, -0.2308)
(-0.3971, -0.4562)
(-0.3539, 0.2406)
(-0.1711, 0.2611)
(-0.1334, -0.2840)
(0.0514, 0.2128)
(0.0740, -0.2083)
(-0.2453, 0.0046)
(0.1809, 0.1103)
(0.4838, -0.0179)
(-0.2371, 0.1657)
(-0.0274, 0.1503)
(-0.1165, -0.0952)
(-0.0725, 0.1827)
(-0.1575, 0.1233)
(-0.1083, 0.0507)
(0.0225, 0.1391)
(-0.3493, 0.2430)
(-0.2276, -0.2456)
(-0.0179, 0.5000)
(-0.1313, 0.0758)
(-0.2095, 0.2229)
(-0.1553, 0.0871)
(-0.3733, 0.5000)
(-0.2104, -0.2327)
(-0.0585, 0.1655)
(-0.1244, 0.0943)
(-0.2484, 0.2238)
(-0.3137, 0.1623)
(-0.4311, 0.3310)
(0.1569, 0.3312)
(-0.2385, 0.0396)
(-0.0020, -0.2403)
(0.0258, 0.1409)
(0.1847, 0.0186)
(-0.0241, 0.4874)
(0.0118, -0.5000)
(0.0126, 0.3470)
(0.1407, 0.5000)
(-0.2459, 0.0804)
(0.2994, 0.1925)
(-0.1660, -0.1550)
(-0.3427, 0.5000)
(0.1044, 0.1814)
(-0.2727, 0.5000)
(-0.2834, -0.5000)
(-0.2261, 0.4931)
(-0.2265, -0.4988)
(-0.2975, 0.1234)
(-0.2262, 0.4829)
